"user_id","betweenness","closeness","in_degree","out_degree","eccentricity"
"1751",9.5,2.66120941322994e-06,3,1,7
"1835",0,2.66120941322994e-06,0,1,1
"521",1.5,2.66555068944469e-06,1,1,7
"1237",1895.08429279528,6.31516460476542e-06,19,5,5
"1948",0,6.34590245078753e-06,0,1,6
"1966",0,6.4976413561877e-06,0,1,6
"796",889.093013751664,6.31249368750631e-06,4,3,5
"1898",67.828631138976,2.66120941322994e-06,15,2,6
"2088",0,2.66992040967259e-06,0,3,7
"2126",0,6.32267120212948e-06,0,1,6
"2165",0,2.66120941322994e-06,0,1,1
"1123",0,2.66120941322994e-06,0,1,7
"2225",0,6.34513740395048e-06,0,1,6
"2160",0,6.36043301827988e-06,0,3,6
"1947",2704.74303791925,6.33565006937537e-06,9,9,5
"225",0,6.35812791281735e-06,0,1,6
"2222",488.371679954033,2.687478500172e-06,7,3,6
"3257",0,2.70973336223716e-06,0,3,6
"2252",0,6.35513781116344e-06,0,3,6
"3261",0,2.66120941322994e-06,0,1,1
"1460",157,2.66120941322994e-06,7,1,6
"1831",5673.21837175979,6.32895369737475e-06,12,1,6
"3282",0,2.65687519594455e-06,1,1,0
"1997",0,6.38300588513143e-06,0,2,6
"3310",0,6.35352271066693e-06,0,1,6
"3332",0,6.34590245078753e-06,0,1,6
"3357",0,6.33681435668661e-06,0,1,6
"3363",0,2.66120941322994e-06,0,1,7
"3379",0,6.38300588513143e-06,0,2,6
"1536",0,2.66555068944469e-06,0,1,7
"3448",0,2.66555068944469e-06,0,1,7
"3475",0,6.4080793063895e-06,0,3,6
"3354",180.405468402565,2.6655577946241e-06,3,2,6
"3485",359,6.35812791281735e-06,1,1,6
"3415",0,2.65687519594455e-06,2,1,1
"3502",0,2.66555068944469e-06,0,1,8
"3503",0,6.36841267314122e-06,0,1,7
"3526",1580.4207378442,6.3299151791366e-06,2,16,6
"3447",0,2.66120941322994e-06,0,1,7
"737",6.02541902541903,2.66120941322994e-06,1,2,6
"3516",0,2.66555068944469e-06,0,1,7
"1470",0,6.35170670359126e-06,0,1,7
"3574",0,6.34590245078753e-06,0,1,6
"2157",3456.44462631719,6.33805941296894e-06,8,18,5
"1738",308,2.6655577946241e-06,26,2,5
"2082",0,2.66120941322994e-06,0,1,1
