"from_user_id","to_user_id","betweenness"
"27","921",15.9099268547544
"921","753",77.3171497584541
"477","527",155.357191810597
"527","1162",180
"477","1161",180
"477","364",69.032213965991
"527","1163",180
"529","527",466
"23","1173",180
"18","566",180
"857","540",178.083298603243
"1122","1193",422.992857142857
"1207","650",466
"675","921",99.3853362576281
"1126","1020",1
"1213","1213",0
"18","1193",120.007142857143
"1221","1202",1
"528","527",106.687545400053
"857","336",84.5973189507794
"6","1232",180
"786","1226",180
"540","1237",888.351085643504
"224","786",238.195176675177
"27","569",2
"1243","179",1
"857","857",0
"921","857",294.825210148897
"675","1262",180
"675","921",99.3853362576281
"1243","675",465
